 0.30942860E-06   0.242952E+21   0.242954E+21  -0.284698E+20   0.267689E+20
 0.61885720E-06   0.242523E+21   0.242525E+21  -0.284446E+20   0.267453E+20
 0.92828580E-06   0.242154E+21   0.242156E+21  -0.284253E+20   0.267274E+20
 0.12377144E-05   0.241831E+21   0.241833E+21  -0.284106E+20   0.267138E+20
 0.15471430E-05   0.241544E+21   0.241546E+21  -0.283994E+20   0.267035E+20
 0.18565716E-05   0.241285E+21   0.241287E+21  -0.283910E+20   0.266957E+20
 0.21660002E-05   0.241049E+21   0.241051E+21  -0.283846E+20   0.266900E+20
 0.24754288E-05   0.240830E+21   0.240833E+21  -0.283800E+20   0.266858E+20
 0.27848574E-05   0.240627E+21   0.240629E+21  -0.283767E+20   0.266828E+20
 0.28537455E-05   0.240585E+21   0.240587E+21  -0.283762E+20   0.266824E+20
 0.31631741E-05   0.240396E+21   0.240398E+21  -0.283742E+20   0.266807E+20
 0.34726027E-05   0.240217E+21   0.240219E+21  -0.283731E+20   0.266798E+20
 0.37820313E-05   0.240047E+21   0.240049E+21  -0.283727E+20   0.266796E+20
 0.40914599E-05   0.239884E+21   0.239886E+21  -0.283729E+20   0.266800E+20
 0.44008885E-05   0.239728E+21   0.239730E+21  -0.283736E+20   0.266808E+20
 0.47103171E-05   0.239577E+21   0.239579E+21  -0.283748E+20   0.266821E+20
 0.50197457E-05   0.239431E+21   0.239433E+21  -0.283763E+20   0.266837E+20
 0.53291743E-05   0.239290E+21   0.239292E+21  -0.283782E+20   0.266857E+20
 0.56386029E-05   0.239153E+21   0.239155E+21  -0.283804E+20   0.266879E+20
 0.57074911E-05   0.239123E+21   0.239125E+21  -0.283810E+20   0.266884E+20
 0.60169197E-05   0.238990E+21   0.238993E+21  -0.283835E+20   0.266909E+20
 0.63263483E-05   0.238861E+21   0.238863E+21  -0.283862E+20   0.266937E+20
 0.66357769E-05   0.238735E+21   0.238737E+21  -0.283891E+20   0.266966E+20
 0.69452055E-05   0.238611E+21   0.238613E+21  -0.283923E+20   0.266997E+20
 0.72546341E-05   0.238490E+21   0.238493E+21  -0.283955E+20   0.267029E+20
 0.75640627E-05   0.238372E+21   0.238374E+21  -0.283990E+20   0.267063E+20
 0.78734913E-05   0.238256E+21   0.238258E+21  -0.284026E+20   0.267098E+20
 0.81829199E-05   0.238142E+21   0.238144E+21  -0.284063E+20   0.267135E+20
 0.84923485E-05   0.238030E+21   0.238032E+21  -0.284101E+20   0.267172E+20
 0.85612366E-05   0.238005E+21   0.238008E+21  -0.284110E+20   0.267181E+20
 0.88706652E-05   0.237896E+21   0.237898E+21  -0.284150E+20   0.267219E+20
 0.91800938E-05   0.237788E+21   0.237790E+21  -0.284190E+20   0.267259E+20
 0.94895224E-05   0.237682E+21   0.237684E+21  -0.284232E+20   0.267300E+20
 0.97989510E-05   0.237577E+21   0.237579E+21  -0.284274E+20   0.267341E+20
 0.10108380E-04   0.237474E+21   0.237476E+21  -0.284317E+20   0.267383E+20
 0.10417808E-04   0.237373E+21   0.237375E+21  -0.284361E+20   0.267426E+20
 0.10727237E-04   0.237273E+21   0.237275E+21  -0.284406E+20   0.267469E+20
 0.11036665E-04   0.237174E+21   0.237176E+21  -0.284451E+20   0.267513E+20
 0.11346094E-04   0.237076E+21   0.237078E+21  -0.284497E+20   0.267558E+20
 0.11414982E-04   0.237055E+21   0.237057E+21  -0.284508E+20   0.267568E+20
 0.11724411E-04   0.236959E+21   0.236961E+21  -0.284554E+20   0.267613E+20
 0.12033839E-04   0.236864E+21   0.236866E+21  -0.284601E+20   0.267659E+20
 0.12343268E-04   0.236770E+21   0.236772E+21  -0.284649E+20   0.267705E+20
 0.12652697E-04   0.236678E+21   0.236680E+21  -0.284697E+20   0.267752E+20
 0.12962125E-04   0.236586E+21   0.236588E+21  -0.284746E+20   0.267799E+20
 0.13271554E-04   0.236495E+21   0.236498E+21  -0.284795E+20   0.267846E+20
 0.13580982E-04   0.236406E+21   0.236408E+21  -0.284844E+20   0.267894E+20
 0.13890411E-04   0.236317E+21   0.236319E+21  -0.284894E+20   0.267942E+20
 0.14199840E-04   0.236229E+21   0.236232E+21  -0.284944E+20   0.267991E+20
 0.14268728E-04   0.236210E+21   0.236212E+21  -0.284955E+20   0.268002E+20
 0.14578156E-04   0.236124E+21   0.236126E+21  -0.285006E+20   0.268050E+20
